"Página","Curso","Categoria","Gratuito","URL do curso"
"1","Cybersecurity","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/cybersecurity/"
"1","Design Gráfico","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/design-grafico/"
"1","Python Development","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/python-development/"
"1","Inteligência artificial e Computacional","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/inteligencia-artificial-e-computacional/"
"1","Big Data & Analytics","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/big-data-analytics/"
"1","Gestão de Infraestrutura de TI","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/gestao-de-infraestrutura-de-ti/"
"1","Java Development","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/java-development/"
"1","Business Intelligence (BI)","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/business-intelligence-bi/"
"1","Linux Fundamentos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/linux-fundamentos/"
"2","Introdução à Inteligência Artificial","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/introducao-a-inteligencia-artificial/"
"2","Marketing em Plataformas de Social Media","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/marketing-em-plataformas-de-social-media/"
"2","Engenharia de Software","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/engenharia-de-software/"
"2","Introdução ao código","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/introducao-ao-codigo/"
"2","Customer Experience Management","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/customer-experience-management/"
"2","Cloud Fundamentals, Administration and Solution Architect","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/cloud-fundamentals/"
"2","Resolução de Problemas Técnicos","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/resolucao-de-problemas-tecnicos/"
"2","User Experience","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/user-experience/"
"2","Design Thinking – Process","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/design-thinking/"
"3","Desenvolvimento Web em Python","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/desenvolvimento-web-em-python/"
"3","Noções básicas da Internet","Carreira & Habilidades","Sim","https://www.eucapacito.com.br/cursos/nocoes-basicas-da-internet/"
"3","Ciência de Dados","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/ciencia-de-dados/"
"3","Inteligência Artificial (IA) – Primeiros passos","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/inteligencia-artificial-ia-primeiros-passos-ibm/"
"3","DevOps & Agile Culture","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/devops-agile-culture/"
"3","Gestão Financeira de Empresas","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/gestao-financeira-de-empresas/"
"3","Python para iniciantes","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/primeiros-passos-com-o-python/"
"3","Leadership Communication","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/leadership-communication/"
"3","Segurança Digital – Cybersecurity Essentials","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/cybersecurity-essentials/"
"4","Crie um site simples usando HTML, CSS e JavaScript","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/crie-um-site-simples-usando-html-css-e-javascript/"
"4","Habilidades interpessoais","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/habilidades-interpessoais/"
"4","Resolvendo problemas com pensamento crítico e criativo","Negócios & Gestão","Sim","https://www.eucapacito.com.br/cursos/resolvendo-problemas-com-pensamento-critico-e-criativo/"
"4","CURSOS DE AI: INTELIGÊNCIA ARTIFICIAL – Escola do Trabalhador 4.0","Dados & Inteligência Artificial","Sim","https://www.eucapacito.com.br/cursos/cursos-de-ai-inteligencia-artificial-escola-do-trabalhador-4-0/"
"4","Venha programar em Java","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/venha-programar-em-java/"
"4","Introdução à Cibersegurança","Tecnologia & Programação","Sim","https://www.eucapacito.com.br/cursos/introducao-a-ciberseguranca/"
